agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,time_period,volume,cost,travel_time,distance,node_sequence,time_sequence
1,1,2,1000900,4000937,fast_train,0900_0936,1,36,36,36,1000900;2000915;3000923;4000936;,0900;0915;0923;0936;
2,2,1,4000900,1001016,slow_train,0900_1015,1,75,75,75,4000900;3000916;3000916;3000945;2000956;2000959;1001015;,0900;0916;0916;0945;0956;0959;1015;
3,1,2,1000918,4000955,fast_train,0918_0954,1,36,36,36,1000918;2000933;3000941;3000941;4000954;,0918;0933;0941;0941;0954;
4,2,1,4000959,1001051,slow_train,0959_1050,1,51,51,51,4000959;3001015;3001019;2001030;2001034;1001050;,0959;1015;1019;1030;1034;1050;
