agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,time_period,volume,cost,travel_time,distance,node_sequence,time_sequence
1,1,2,1000900,4000937,fast_train,0900_0936,1,36,36,36,1000900;2000915;3000923;4000936;,0900;0915;0923;0936;
2,1,2,1000912,4001000,slow_train	,0912_0959,1,47,47,47,1000912;2000928;2000930;3000941;3000943;4000959;,0912;0928;0930;0941;0943;0959;
3,1,2,1000906,4000943,fast_train,0906_0942,1,36,36,36,1000906;2000921;3000929;3000929;4000942;,0906;0921;0929;0929;0942;
4,1,2,1000918,4001006,slow_train	,0918_1005,1,47,47,47,1000918;2000934;2000936;3000947;3000949;4001005;,0918;0934;0936;0947;0949;1005;
